t,v,r
284.000000,47870.000005,57909000005.128265
285.000000,47870.000005,57909000005.144585
286.000000,47870.000005,57909000005.160889
287.000000,47870.000005,57909000005.177177
288.000000,47870.000005,57909000005.193459
289.000000,47870.000005,57909000005.209724
290.000000,47870.000005,57909000005.225975
291.000000,47870.000005,57909000005.242226
292.000000,47870.000005,57909000005.258461
293.000000,47870.000005,57909000005.274681
294.000000,47870.000005,57909000005.290878
295.000000,47870.000005,57909000005.307076
296.000000,47870.000005,57909000005.323273
297.000000,47870.000005,57909000005.339432
298.000000,47870.000005,57909000005.355591
299.000000,47870.000005,57909000005.371742
300.000000,47870.000005,57909000005.387871
301.000000,47870.000005,57909000005.403984
302.000000,47870.000005,57909000005.420097
303.000000,47870.000005,57909000005.436203
304.000000,47870.000005,57909000005.452278
305.000000,47870.000005,57909000005.468346
306.000000,47870.000005,57909000005.484406
307.000000,47870.000005,57909000005.500458
308.000000,47870.000005,57909000005.516495
309.000000,47870.000006,57909000005.532516
310.000000,47870.000006,57909000005.548531
311.000000,47870.000006,57909000005.564529
312.000000,47870.000006,57909000005.580513
313.000000,47870.000006,57909000005.596481
314.000000,47870.000006,57909000005.612450
315.000000,47870.000006,57909000005.628403
316.000000,47870.000006,57909000005.644341
317.000000,47870.000006,57909000005.660263
318.000000,47870.000006,57909000005.676178
319.000000,47870.000006,57909000005.692085
320.000000,47870.000006,57909000005.707970
321.000000,47870.000006,57909000005.723846
322.000000,47870.000006,57909000005.739716
323.000000,47870.000006,57909000005.755569
324.000000,47870.000006,57909000005.771408
325.000000,47870.000006,57909000005.787239
326.000000,47870.000006,57909000005.803055
327.000000,47870.000006,57909000005.818855
328.000000,47870.000006,57909000005.834641
329.000000,47870.000006,57909000005.850426
330.000000,47870.000006,57909000005.866196
331.000000,47870.000006,57909000005.881950
332.000000,47870.000006,57909000005.897675
333.000000,47870.000006,57909000005.913406
334.000000,47870.000006,57909000005.929138
335.000000,47870.000006,57909000005.944839
336.000000,47870.000006,57909000005.960526
337.000000,47870.000006,57909000005.976212
338.000000,47870.000006,57909000005.991890
339.000000,47870.000006,57909000006.007538
340.000000,47870.000006,57909000006.023186
341.000000,47870.000006,57909000006.038818
342.000000,47870.000006,57909000006.054443
343.000000,47870.000006,57909000006.070045
344.000000,47870.000006,57909000006.085640
345.000000,47870.000006,57909000006.101227
346.000000,47870.000006,57909000006.116798
347.000000,47870.000006,57909000006.132355
348.000000,47870.000006,57909000006.147911
349.000000,47870.000006,57909000006.163437
350.000000,47870.000006,57909000006.178963
351.000000,47870.000006,57909000006.194473
352.000000,47870.000006,57909000006.209976
353.000000,47870.000006,57909000006.225456
354.000000,47870.000006,57909000006.240929
355.000000,47870.000006,57909000006.256393
356.000000,47870.000006,57909000006.271835
357.000000,47870.000006,57909000006.287277
358.000000,47870.000006,57909000006.302704
359.000000,47870.000006,57909000006.318115
360.000000,47870.000007,57909000006.333511
361.000000,47870.000007,57909000006.348900
362.000000,47870.000007,57909000006.364273
363.000000,47870.000007,57909000006.379639
364.000000,47870.000007,57909000006.394989
365.000000,47870.000007,57909000006.410332
366.000000,47870.000007,57909000006.425652
367.000000,47870.000007,57909000006.440971
368.000000,47870.000007,57909000006.456268
369.000000,47870.000007,57909000006.471573
370.000000,47870.000007,57909000006.486839
371.000000,47870.000007,57909000006.502113
372.000000,47870.000007,57909000006.517372
373.000000,47870.000007,57909000006.532608
374.000000,47870.000007,57909000006.547844
375.000000,47870.000007,57909000006.563057
376.000000,47870.000007,57909000006.578262
